State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter
Alabama,Clay,1,27,2023-06-30,68,Moderate,PM2.5
Alabama,DeKalb,1,49,2023-06-30,75,Moderate,PM2.5
Alabama,Etowah,1,55,2023-06-30,78,Moderate,PM2.5
Alabama,Jefferson,1,73,2023-06-30,105,Unhealthy for Sensitive Groups,PM2.5
Alabama,Madison,1,89,2023-06-30,70,Moderate,PM2.5
Alabama,Morgan,1,103,2023-06-30,70,Moderate,PM2.5
Alabama,Sumter,1,119,2023-06-30,64,Moderate,PM2.5
Alaska,Juneau ,2,110,2023-06-30,12,Good,PM2.5
Alaska,Matanuska-Susitna ,2,170,2023-06-30,7,Good,PM2.5
Arkansas,Pulaski,5,119,2023-06-30,68,Moderate,PM2.5
California,Colusa,6,11,2023-06-30,54,Moderate,PM2.5
California,Del Norte,6,15,2023-06-30,20,Good,PM2.5
California,Kern,6,29,2023-06-30,60,Moderate,PM2.5
California,Mono,6,51,2023-06-30,20,Good,PM2.5
California,Plumas,6,63,2023-06-30,24,Good,PM2.5
California,Sacramento,6,67,2023-06-30,35,Good,PM2.5
California,San Francisco,6,75,2023-06-30,15,Good,PM2.5
California,San Mateo,6,81,2023-06-30,37,Good,PM2.5
California,Trinity,6,105,2023-06-30,17,Good,PM2.5
Colorado,Mesa,8,77,2023-06-30,15,Good,PM2.5
Connecticut,Fairfield,9,1,2023-06-30,153,Unhealthy,PM2.5
Connecticut,Hartford,9,3,2023-06-30,129,Unhealthy for Sensitive Groups,PM2.5
Connecticut,Litchfield,9,5,2023-06-30,160,Unhealthy,PM2.5
Connecticut,New Haven,9,9,2023-06-30,148,Unhealthy for Sensitive Groups,PM2.5
Connecticut,New London,9,11,2023-06-30,109,Unhealthy for Sensitive Groups,PM2.5
District Of Columbia,District of Columbia,11,1,2023-06-30,113,Unhealthy for Sensitive Groups,PM2.5
Florida,Alachua,12,1,2023-06-30,75,Moderate,PM2.5
Florida,Baker,12,3,2023-06-30,65,Moderate,PM2.5
Florida,Bay,12,5,2023-06-30,69,Moderate,PM2.5
Florida,Brevard,12,9,2023-06-30,51,Moderate,PM2.5
Florida,Broward,12,11,2023-06-30,44,Good,PM2.5
Florida,Citrus,12,17,2023-06-30,70,Moderate,PM2.5
Florida,Columbia,12,23,2023-06-30,86,Moderate,PM2.5
Florida,Duval,12,31,2023-06-30,68,Moderate,PM2.5
Florida,Hamilton,12,47,2023-06-30,69,Moderate,PM2.5
Florida,Leon,12,73,2023-06-30,68,Moderate,PM2.5
Florida,Marion,12,83,2023-06-30,65,Moderate,PM2.5
Florida,Orange,12,95,2023-06-30,58,Moderate,PM2.5
Florida,Seminole,12,117,2023-06-30,56,Moderate,PM2.5
Florida,Volusia,12,127,2023-06-30,60,Moderate,PM2.5
Florida,Wakulla,12,129,2023-06-30,61,Moderate,PM2.5
Georgia,Bibb,13,21,2023-06-30,99,Moderate,PM2.5
Georgia,Chatham,13,51,2023-06-30,77,Moderate,PM2.5
Georgia,Clarke,13,59,2023-06-30,72,Moderate,PM2.5
Georgia,DeKalb,13,89,2023-06-30,105,Unhealthy for Sensitive Groups,PM2.5
Georgia,Dougherty,13,95,2023-06-30,75,Moderate,PM2.5
Georgia,Floyd,13,115,2023-06-30,84,Moderate,PM2.5
Georgia,Fulton,13,121,2023-06-30,96,Moderate,PM2.5
Georgia,Glynn,13,127,2023-06-30,74,Moderate,PM2.5
Georgia,Gwinnett,13,135,2023-06-30,95,Moderate,PM2.5
Georgia,Hall,13,139,2023-06-30,91,Moderate,PM2.5
Georgia,Houston,13,153,2023-06-30,87,Moderate,PM2.5
Georgia,Lowndes,13,185,2023-06-30,72,Moderate,PM2.5
Georgia,Muscogee,13,215,2023-06-30,77,Moderate,PM2.5
Georgia,Richmond,13,245,2023-06-30,83,Moderate,PM2.5
Georgia,Walker,13,295,2023-06-30,69,Moderate,PM2.5
Georgia,Washington,13,303,2023-06-30,91,Moderate,PM2.5
Hawaii,Hawaii,15,1,2023-06-30,15,Good,PM2.5
Hawaii,Maui,15,9,2023-06-30,7,Good,PM2.5
Idaho,Benewah,16,9,2023-06-30,26,Good,PM2.5
Idaho,Boise,16,15,2023-06-30,28,Good,PM2.5
Idaho,Bonner,16,17,2023-06-30,23,Good,PM2.5
Idaho,Bonneville,16,19,2023-06-30,36,Good,PM2.5
Idaho,Canyon,16,27,2023-06-30,35,Good,PM2.5
Idaho,Franklin,16,41,2023-06-30,16,Good,PM2.5
Idaho,Kootenai,16,55,2023-06-30,20,Good,PM2.5
Idaho,Latah,16,57,2023-06-30,28,Good,PM2.5
Idaho,Lemhi,16,59,2023-06-30,22,Good,PM2.5
Idaho,Nez Perce,16,69,2023-06-30,40,Good,PM2.5
Idaho,Shoshone,16,79,2023-06-30,24,Good,PM2.5
Idaho,Twin Falls,16,83,2023-06-30,18,Good,PM2.5
Idaho,Valley,16,85,2023-06-30,28,Good,PM2.5
Illinois,DuPage,17,43,2023-06-30,85,Moderate,PM2.5
Illinois,McHenry,17,111,2023-06-30,89,Moderate,PM2.5
Illinois,McLean,17,113,2023-06-30,77,Moderate,PM2.5
Illinois,Rock Island,17,161,2023-06-30,71,Moderate,PM2.5
Illinois,Will,17,197,2023-06-30,83,Moderate,PM2.5
Illinois,Winnebago,17,201,2023-06-30,91,Moderate,PM2.5
Indiana,Clark,18,19,2023-06-30,62,Moderate,PM2.5
Indiana,Floyd,18,43,2023-06-30,58,Moderate,PM2.5
Indiana,Henry,18,65,2023-06-30,38,Good,PM2.5
Indiana,Lake,18,89,2023-06-30,85,Moderate,PM2.5
Indiana,Monroe,18,105,2023-06-30,33,Good,PM2.5
Indiana,Porter,18,127,2023-06-30,89,Moderate,PM2.5
Indiana,Tippecanoe,18,157,2023-06-30,53,Moderate,PM2.5
Indiana,Whitley,18,183,2023-06-30,76,Moderate,PM2.5
Iowa,Black Hawk,19,13,2023-06-30,53,Moderate,PM2.5
Iowa,Clinton,19,45,2023-06-30,75,Moderate,PM2.5
Iowa,Johnson,19,103,2023-06-30,76,Moderate,PM2.5
Iowa,Linn,19,113,2023-06-30,78,Moderate,PM2.5
Iowa,Muscatine,19,139,2023-06-30,60,Moderate,PM2.5
Iowa,Polk,19,153,2023-06-30,62,Moderate,PM2.5
Iowa,Scott,19,163,2023-06-30,69,Moderate,PM2.5
Iowa,Van Buren,19,177,2023-06-30,58,Moderate,PM2.5
Kansas,Johnson,20,91,2023-06-30,38,Good,PM2.5
Kansas,Neosho,20,133,2023-06-30,50,Good,PM2.5
Kansas,Sedgwick,20,173,2023-06-30,47,Good,PM2.5
Kentucky,Bell,21,13,2023-06-30,73,Moderate,PM2.5
Kentucky,Boyd,21,19,2023-06-30,55,Moderate,PM2.5
Kentucky,Campbell,21,37,2023-06-30,53,Moderate,PM2.5
Kentucky,Carter,21,43,2023-06-30,67,Moderate,PM2.5
Kentucky,Christian,21,47,2023-06-30,54,Moderate,PM2.5
Kentucky,Daviess,21,59,2023-06-30,51,Moderate,PM2.5
Kentucky,Fayette,21,67,2023-06-30,53,Moderate,PM2.5
Kentucky,Hardin,21,93,2023-06-30,56,Moderate,PM2.5
Kentucky,Perry,21,193,2023-06-30,75,Moderate,PM2.5
Kentucky,Pike,21,195,2023-06-30,75,Moderate,PM2.5
Kentucky,Pulaski,21,199,2023-06-30,56,Moderate,PM2.5
Kentucky,Warren,21,227,2023-06-30,51,Moderate,PM2.5
Louisiana,Bossier,22,15,2023-06-30,51,Moderate,PM2.5
Louisiana,Lafourche,22,57,2023-06-30,65,Moderate,PM2.5
Louisiana,Orleans,22,71,2023-06-30,56,Moderate,PM2.5
Louisiana,St. Bernard,22,87,2023-06-30,61,Moderate,PM2.5
Maine,Androscoggin,23,1,2023-06-30,49,Good,PM2.5
Maine,Aroostook,23,3,2023-06-30,41,Good,PM2.5
Maine,Cumberland,23,5,2023-06-30,59,Moderate,PM2.5
Maine,Oxford,23,17,2023-06-30,44,Good,PM2.5
Maryland,Baltimore,24,5,2023-06-30,134,Unhealthy for Sensitive Groups,PM2.5
Maryland,Baltimore (City),24,510,2023-06-30,126,Unhealthy for Sensitive Groups,PM2.5
Maryland,Cecil,24,15,2023-06-30,151,Unhealthy,PM2.5
Maryland,Dorchester,24,19,2023-06-30,117,Unhealthy for Sensitive Groups,PM2.5
Maryland,Garrett,24,23,2023-06-30,89,Moderate,PM2.5
Maryland,Harford,24,25,2023-06-30,131,Unhealthy for Sensitive Groups,PM2.5
Maryland,Howard,24,27,2023-06-30,113,Unhealthy for Sensitive Groups,PM2.5
Maryland,Kent,24,29,2023-06-30,122,Unhealthy for Sensitive Groups,PM2.5
Maryland,Montgomery,24,31,2023-06-30,92,Moderate,PM2.5
Maryland,Prince George's,24,33,2023-06-30,99,Moderate,PM2.5
Maryland,Washington,24,43,2023-06-30,118,Unhealthy for Sensitive Groups,PM2.5
Massachusetts,Berkshire,25,3,2023-06-30,130,Unhealthy for Sensitive Groups,PM2.5
Massachusetts,Essex,25,9,2023-06-30,52,Moderate,PM2.5
Massachusetts,Franklin,25,11,2023-06-30,117,Unhealthy for Sensitive Groups,PM2.5
Massachusetts,Hampshire,25,15,2023-06-30,112,Unhealthy for Sensitive Groups,PM2.5
Massachusetts,Middlesex,25,17,2023-06-30,55,Moderate,PM2.5
Massachusetts,Plymouth,25,23,2023-06-30,79,Moderate,PM2.5
Massachusetts,Suffolk,25,25,2023-06-30,62,Moderate,PM2.5
Massachusetts,Worcester,25,27,2023-06-30,96,Moderate,PM2.5
Michigan,Allegan,26,5,2023-06-30,103,Unhealthy for Sensitive Groups,PM2.5
Michigan,Bay,26,17,2023-06-30,138,Unhealthy for Sensitive Groups,PM2.5
Michigan,Ingham,26,65,2023-06-30,120,Unhealthy for Sensitive Groups,PM2.5
Michigan,Schoolcraft,26,153,2023-06-30,130,Unhealthy for Sensitive Groups,PM2.5
Michigan,Washtenaw,26,161,2023-06-30,119,Unhealthy for Sensitive Groups,PM2.5
Minnesota,Becker,27,5,2023-06-30,63,Moderate,PM2.5
Minnesota,Beltrami,27,7,2023-06-30,71,Moderate,PM2.5
Minnesota,Carlton,27,17,2023-06-30,52,Moderate,PM2.5
Minnesota,Cass,27,21,2023-06-30,63,Moderate,PM2.5
Minnesota,Cook,27,31,2023-06-30,40,Good,PM2.5
Minnesota,Crow Wing,27,35,2023-06-30,59,Moderate,PM2.5
Minnesota,Dakota,27,37,2023-06-30,66,Moderate,PM2.5
Minnesota,Hennepin,27,53,2023-06-30,63,Moderate,PM2.5
Minnesota,Lake,27,75,2023-06-30,52,Moderate,PM2.5
Minnesota,Lyon,27,83,2023-06-30,60,Moderate,PM2.5
Minnesota,Ramsey,27,123,2023-06-30,65,Moderate,PM2.5
Minnesota,Saint Louis,27,137,2023-06-30,54,Moderate,PM2.5
Minnesota,Scott,27,139,2023-06-30,64,Moderate,PM2.5
Minnesota,Stearns,27,145,2023-06-30,62,Moderate,PM2.5
Minnesota,Wright,27,171,2023-06-30,62,Moderate,PM2.5
Mississippi,Bolivar,28,11,2023-06-30,60,Moderate,PM2.5
Mississippi,DeSoto,28,33,2023-06-30,53,Moderate,PM2.5
Mississippi,Forrest,28,35,2023-06-30,63,Moderate,PM2.5
Mississippi,Hancock,28,45,2023-06-30,57,Moderate,PM2.5
Mississippi,Harrison,28,47,2023-06-30,64,Moderate,PM2.5
Mississippi,Hinds,28,49,2023-06-30,55,Moderate,PM2.5
Mississippi,Jackson,28,59,2023-06-30,63,Moderate,PM2.5
Missouri,Buchanan,29,21,2023-06-30,26,Good,PM2.5
Missouri,Greene,29,77,2023-06-30,49,Good,PM2.5
Missouri,Jackson,29,95,2023-06-30,40,Good,PM2.5
Missouri,St. Louis City,29,510,2023-06-30,67,Moderate,PM2.5
Montana,Beaverhead,30,1,2023-06-30,18,Good,PM2.5
Montana,Cascade,30,13,2023-06-30,53,Moderate,PM2.5
Montana,Fergus,30,27,2023-06-30,31,Good,PM2.5
Montana,Gallatin,30,31,2023-06-30,19,Good,PM2.5
Montana,Glacier,30,35,2023-06-30,18,Good,PM2.5
Montana,Hill,30,41,2023-06-30,35,Good,PM2.5
Montana,Lewis and Clark,30,49,2023-06-30,48,Good,PM2.5
Montana,Lincoln,30,53,2023-06-30,31,Good,PM2.5
Montana,Phillips,30,71,2023-06-30,34,Good,PM2.5
Montana,Ravalli,30,81,2023-06-30,20,Good,PM2.5
Montana,Richland,30,83,2023-06-30,48,Good,PM2.5
Montana,Sanders,30,89,2023-06-30,26,Good,PM2.5
Montana,Silver Bow,30,93,2023-06-30,34,Good,PM2.5
Montana,Yellowstone,30,111,2023-06-30,20,Good,PM2.5
Nebraska,Gage,31,67,2023-06-30,8,Good,PM2.5
Nebraska,Hall,31,79,2023-06-30,21,Good,PM2.5
Nebraska,Sarpy,31,153,2023-06-30,18,Good,PM2.5
Nebraska,Scotts Bluff,31,157,2023-06-30,11,Good,PM2.5
Nebraska,Washington,31,177,2023-06-30,23,Good,PM2.5
Nevada,Douglas,32,5,2023-06-30,21,Good,PM2.5
New Hampshire,Belknap,33,1,2023-06-30,35,Good,PM2.5
New Hampshire,Cheshire,33,5,2023-06-30,84,Moderate,PM2.5
New Hampshire,Grafton,33,9,2023-06-30,48,Good,PM2.5
New Hampshire,Hillsborough,33,11,2023-06-30,67,Moderate,PM2.5
New Jersey,Atlantic,34,1,2023-06-30,107,Unhealthy for Sensitive Groups,PM2.5
New Jersey,Cumberland,34,11,2023-06-30,114,Unhealthy for Sensitive Groups,PM2.5
New Jersey,Hudson,34,17,2023-06-30,152,Unhealthy,PM2.5
New Jersey,Middlesex,34,23,2023-06-30,157,Unhealthy,PM2.5
New Jersey,Ocean,34,29,2023-06-30,117,Unhealthy for Sensitive Groups,PM2.5
New Jersey,Passaic,34,31,2023-06-30,151,Unhealthy,PM2.5
New Jersey,Union,34,39,2023-06-30,156,Unhealthy,PM2.5
New Jersey,Warren,34,41,2023-06-30,153,Unhealthy,PM2.5
New Mexico,Taos,35,55,2023-06-30,16,Good,PM2.5
New York,Albany,36,1,2023-06-30,149,Unhealthy for Sensitive Groups,PM2.5
New York,Bronx,36,5,2023-06-30,152,Unhealthy,PM2.5
New York,Erie,36,29,2023-06-30,166,Unhealthy,PM2.5
New York,Essex,36,31,2023-06-30,101,Unhealthy for Sensitive Groups,PM2.5
New York,Kings,36,47,2023-06-30,158,Unhealthy,PM2.5
New York,Monroe,36,55,2023-06-30,170,Unhealthy,PM2.5
New York,Nassau,36,59,2023-06-30,125,Unhealthy for Sensitive Groups,PM2.5
New York,New York,36,61,2023-06-30,151,Unhealthy,PM2.5
New York,Oneida,36,65,2023-06-30,137,Unhealthy for Sensitive Groups,PM2.5
New York,Onondaga,36,67,2023-06-30,163,Unhealthy,PM2.5
New York,Orange,36,71,2023-06-30,158,Unhealthy,PM2.5
New York,Queens,36,81,2023-06-30,157,Unhealthy,PM2.5
New York,Richmond,36,85,2023-06-30,157,Unhealthy,PM2.5
New York,Steuben,36,101,2023-06-30,158,Unhealthy,PM2.5
North Carolina,Buncombe,37,21,2023-06-30,80,Moderate,PM2.5
North Carolina,Catawba,37,35,2023-06-30,88,Moderate,PM2.5
North Carolina,Cumberland,37,51,2023-06-30,90,Moderate,PM2.5
North Carolina,Davidson,37,57,2023-06-30,93,Moderate,PM2.5
North Carolina,Durham,37,63,2023-06-30,104,Unhealthy for Sensitive Groups,PM2.5
North Carolina,Edgecombe,37,65,2023-06-30,82,Moderate,PM2.5
North Carolina,Forsyth,37,67,2023-06-30,112,Unhealthy for Sensitive Groups,PM2.5
