State,County,State Code,County Code,Date,AQI,Category,Parameter
Alabama,Baldwin,1,3,6/29,65,Moderate,PM2.5
Alabama,Clay,1,27,6/29,60,Moderate,PM2.5
Alabama,DeKalb,1,49,6/29,76,Moderate,PM2.5
Alabama,Etowah,1,55,6/29,71,Moderate,PM2.5
Alabama,Jefferson,1,73,6/29,171,Unhealthy,PM2.5
Alabama,Madison,1,89,6/29,59,Moderate,PM2.5
Alabama,Mobile,1,97,6/29,66,Moderate,PM2.5
Alabama,Sumter,1,119,6/29,58,Moderate,PM2.5
Alaska,Juneau ,2,110,6/29,7,Good,PM2.5
Alaska,Matanuska-Susitna ,2,170,6/29,7,Good,PM2.5
Arizona,Santa Cruz,4,23,6/29,30,Good,PM2.5
Arkansas,Arkansas,5,1,6/29,55,Moderate,PM2.5
Arkansas,Ashley,5,3,6/29,48,Good,PM2.5
Arkansas,Crittenden,5,35,6/29,54,Moderate,PM2.5
Arkansas,Garland,5,51,6/29,51,Moderate,PM2.5
Arkansas,Jackson,5,67,6/29,56,Moderate,PM2.5
Arkansas,Polk,5,113,6/29,32,Good,PM2.5
Arkansas,Pulaski,5,119,6/29,68,Moderate,PM2.5
Arkansas,Union,5,139,6/29,52,Moderate,PM2.5
California,Colusa,6,11,6/29,53,Moderate,PM2.5
California,Del Norte,6,15,6/29,15,Good,PM2.5
California,Kern,6,29,6/29,55,Moderate,PM2.5
California,Lake,6,33,6/29,23,Good,PM2.5
California,Mono,6,51,6/29,20,Good,PM2.5
California,Plumas,6,63,6/29,24,Good,PM2.5
California,Sacramento,6,67,6/29,31,Good,PM2.5
California,San Mateo,6,81,6/29,29,Good,PM2.5
California,Stanislaus,6,99,6/29,30,Good,PM2.5
California,Trinity,6,105,6/29,17,Good,PM2.5
Colorado,Adams,8,1,6/29,32,Good,PM2.5
Connecticut,Hartford,9,3,6/29,65,Moderate,PM2.5
Connecticut,Litchfield,9,5,6/29,87,Moderate,PM2.5
Connecticut,New Haven,9,9,6/29,71,Moderate,PM2.5
Connecticut,New London,9,11,6/29,57,Moderate,PM2.5
District Of Columbia,District of Columbia,11,1,6/29,164,Unhealthy,PM2.5
Florida,Alachua,12,1,6/29,65,Moderate,PM2.5
Florida,Bay,12,5,6/29,64,Moderate,PM2.5
Florida,Citrus,12,17,6/29,56,Moderate,PM2.5
Florida,Collier,12,21,6/29,37,Good,PM2.5
Florida,Columbia,12,23,6/29,82,Moderate,PM2.5
Florida,Escambia,12,33,6/29,72,Moderate,PM2.5
Florida,Hamilton,12,47,6/29,63,Moderate,PM2.5
Florida,Hillsborough,12,57,6/29,56,Moderate,PM2.5
Florida,Leon,12,73,6/29,66,Moderate,PM2.5
Florida,Marion,12,83,6/29,52,Moderate,PM2.5
Florida,Pinellas,12,103,6/29,57,Moderate,PM2.5
Florida,Sarasota,12,115,6/29,46,Good,PM2.5
Florida,Wakulla,12,129,6/29,62,Moderate,PM2.5
Georgia,Bibb,13,21,6/29,80,Moderate,PM2.5
Georgia,Chatham,13,51,6/29,67,Moderate,PM2.5
Georgia,Clarke,13,59,6/29,73,Moderate,PM2.5
Georgia,Clayton,13,63,6/29,97,Moderate,PM2.5
Georgia,Cobb,13,67,6/29,125,Unhealthy for Sensitive Groups,PM2.5
Georgia,Coffee,13,69,6/29,56,Moderate,PM2.5
Georgia,Dougherty,13,95,6/29,71,Moderate,PM2.5
Georgia,Floyd,13,115,6/29,110,Unhealthy for Sensitive Groups,PM2.5
Georgia,Glynn,13,127,6/29,66,Moderate,PM2.5
Georgia,Hall,13,139,6/29,125,Unhealthy for Sensitive Groups,PM2.5
Georgia,Houston,13,153,6/29,70,Moderate,PM2.5
Georgia,Lowndes,13,185,6/29,70,Moderate,PM2.5
Georgia,Walker,13,295,6/29,128,Unhealthy for Sensitive Groups,PM2.5
Georgia,Washington,13,303,6/29,82,Moderate,PM2.5
Hawaii,Hawaii,15,1,6/29,18,Good,PM2.5
Hawaii,Maui,15,9,6/29,13,Good,PM2.5
Idaho,Benewah,16,9,6/29,27,Good,PM2.5
Idaho,Boise,16,15,6/29,7,Good,PM2.5
Idaho,Bonner,16,17,6/29,22,Good,PM2.5
Idaho,Bonneville,16,19,6/29,28,Good,PM2.5
Idaho,Canyon,16,27,6/29,24,Good,PM2.5
Idaho,Franklin,16,41,6/29,24,Good,PM2.5
Idaho,Kootenai,16,55,6/29,24,Good,PM2.5
Idaho,Latah,16,57,6/29,11,Good,PM2.5
Idaho,Lemhi,16,59,6/29,13,Good,PM2.5
Idaho,Nez Perce,16,69,6/29,32,Good,PM2.5
Idaho,Shoshone,16,79,6/29,23,Good,PM2.5
Idaho,Twin Falls,16,83,6/29,17,Good,PM2.5
Idaho,Valley,16,85,6/29,20,Good,PM2.5
Illinois,Champaign,17,19,6/29,125,Unhealthy for Sensitive Groups,PM2.5
Illinois,Cook,17,31,6/29,158,Unhealthy,PM2.5
Illinois,DuPage,17,43,6/29,157,Unhealthy,PM2.5
Illinois,Hamilton,17,65,6/29,47,Good,PM2.5
Illinois,Jersey,17,83,6/29,43,Good,PM2.5
Illinois,Kane,17,89,6/29,156,Unhealthy,PM2.5
Illinois,Macon,17,115,6/29,93,Moderate,PM2.5
Illinois,Madison,17,119,6/29,57,Moderate,PM2.5
Illinois,McHenry,17,111,6/29,163,Unhealthy,PM2.5
Illinois,McLean,17,113,6/29,98,Moderate,PM2.5
Illinois,Randolph,17,157,6/29,52,Moderate,PM2.5
Illinois,Rock Island,17,161,6/29,163,Unhealthy,PM2.5
Illinois,Saint Clair,17,163,6/29,54,Moderate,PM2.5
Illinois,Sangamon,17,167,6/29,158,Unhealthy,PM2.5
Illinois,Will,17,197,6/29,153,Unhealthy,PM2.5
Illinois,Winnebago,17,201,6/29,181,Unhealthy,PM2.5
Indiana,Bartholomew,18,5,6/29,121,Unhealthy for Sensitive Groups,PM2.5
Indiana,Clark,18,19,6/29,123,Unhealthy for Sensitive Groups,PM2.5
Indiana,Delaware,18,35,6/29,121,Unhealthy for Sensitive Groups,PM2.5
Indiana,Dubois,18,37,6/29,73,Moderate,PM2.5
Indiana,Elkhart,18,39,6/29,149,Unhealthy for Sensitive Groups,PM2.5
Indiana,Floyd,18,43,6/29,103,Unhealthy for Sensitive Groups,PM2.5
Indiana,Greene,18,55,6/29,94,Moderate,PM2.5
Indiana,Hamilton,18,57,6/29,136,Unhealthy for Sensitive Groups,PM2.5
Indiana,Henry,18,65,6/29,141,Unhealthy for Sensitive Groups,PM2.5
Indiana,Howard,18,67,6/29,135,Unhealthy for Sensitive Groups,PM2.5
Indiana,LaPorte,18,91,6/29,121,Unhealthy for Sensitive Groups,PM2.5
Indiana,Lake,18,89,6/29,145,Unhealthy for Sensitive Groups,PM2.5
Indiana,Madison,18,95,6/29,142,Unhealthy for Sensitive Groups,PM2.5
Indiana,Marion,18,97,6/29,173,Unhealthy,PM2.5
Indiana,Monroe,18,105,6/29,114,Unhealthy for Sensitive Groups,PM2.5
Indiana,Porter,18,127,6/29,130,Unhealthy for Sensitive Groups,PM2.5
Indiana,Spencer,18,147,6/29,67,Moderate,PM2.5
Indiana,St. Joseph,18,141,6/29,157,Unhealthy,PM2.5
Indiana,Tippecanoe,18,157,6/29,124,Unhealthy for Sensitive Groups,PM2.5
Indiana,Vanderburgh,18,163,6/29,86,Moderate,PM2.5
Indiana,Vigo,18,167,6/29,86,Moderate,PM2.5
Indiana,Whitley,18,183,6/29,157,Unhealthy,PM2.5
Iowa,Black Hawk,19,13,6/29,154,Unhealthy,PM2.5
Iowa,Clinton,19,45,6/29,168,Unhealthy,PM2.5
Iowa,Johnson,19,103,6/29,178,Unhealthy,PM2.5
Iowa,Lee,19,111,6/29,97,Moderate,PM2.5
Iowa,Linn,19,113,6/29,183,Unhealthy,PM2.5
Iowa,Montgomery,19,137,6/29,55,Moderate,PM2.5
Iowa,Muscatine,19,139,6/29,164,Unhealthy,PM2.5
Iowa,Polk,19,153,6/29,127,Unhealthy for Sensitive Groups,PM2.5
Iowa,Pottawattamie,19,155,6/29,54,Moderate,PM2.5
Iowa,Scott,19,163,6/29,159,Unhealthy,PM2.5
Iowa,Van Buren,19,177,6/29,125,Unhealthy for Sensitive Groups,PM2.5
Iowa,Woodbury,19,193,6/29,41,Good,PM2.5
Kentucky,Bell,21,13,6/29,131,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Boyd,21,19,6/29,154,Unhealthy,PM2.5
Kentucky,Campbell,21,37,6/29,137,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Carter,21,43,6/29,132,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Christian,21,47,6/29,69,Moderate,PM2.5
Kentucky,Daviess,21,59,6/29,80,Moderate,PM2.5
Kentucky,Fayette,21,67,6/29,128,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Hardin,21,93,6/29,93,Moderate,PM2.5
Kentucky,Jefferson,21,111,6/29,120,Unhealthy for Sensitive Groups,PM2.5
Kentucky,McCracken,21,145,6/29,46,Good,PM2.5
Kentucky,Perry,21,193,6/29,137,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Pike,21,195,6/29,127,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Pulaski,21,199,6/29,120,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Warren,21,227,6/29,98,Moderate,PM2.5
Louisiana,Bossier,22,15,6/29,54,Moderate,PM2.5
Louisiana,Caddo,22,17,6/29,51,Moderate,PM2.5
Louisiana,Lafourche,22,57,6/29,56,Moderate,PM2.5
Louisiana,Livingston,22,63,6/29,52,Moderate,PM2.5
Louisiana,Orleans,22,71,6/29,56,Moderate,PM2.5
Louisiana,Ouachita,22,73,6/29,40,Good,PM2.5
Louisiana,Rapides,22,79,6/29,38,Good,PM2.5
Louisiana,St. Bernard,22,87,6/29,46,Good,PM2.5
Louisiana,St. Tammany,22,103,6/29,43,Good,PM2.5
Louisiana,Tangipahoa,22,105,6/29,48,Good,PM2.5
Louisiana,West Baton Rouge,22,121,6/29,36,Good,PM2.5
Maine,Cumberland,23,5,6/29,61,Moderate,PM2.5
Maryland,Cecil,24,15,6/29,162,Unhealthy,PM2.5
Maryland,Dorchester,24,19,6/29,159,Unhealthy,PM2.5
Maryland,Garrett,24,23,6/29,165,Unhealthy,PM2.5
Maryland,Harford,24,25,6/29,167,Unhealthy,PM2.5
Maryland,Howard,24,27,6/29,168,Unhealthy,PM2.5
Maryland,Kent,24,29,6/29,158,Unhealthy,PM2.5
Maryland,Montgomery,24,31,6/29,161,Unhealthy,PM2.5
Maryland,Prince George's,24,33,6/29,166,Unhealthy,PM2.5
Maryland,Washington,24,43,6/29,167,Unhealthy,PM2.5
Massachusetts,Berkshire,25,3,6/29,79,Moderate,PM2.5
Massachusetts,Bristol,25,5,6/29,51,Moderate,PM2.5
Massachusetts,Franklin,25,11,6/29,53,Moderate,PM2.5
Massachusetts,Hampden,25,13,6/29,56,Moderate,PM2.5
Massachusetts,Hampshire,25,15,6/29,52,Moderate,PM2.5
Massachusetts,Middlesex,25,17,6/29,47,Good,PM2.5
Massachusetts,Norfolk,25,21,6/29,48,Good,PM2.5
Massachusetts,Plymouth,25,23,6/29,52,Moderate,PM2.5
Massachusetts,Suffolk,25,25,6/29,54,Moderate,PM2.5
Massachusetts,Worcester,25,27,6/29,54,Moderate,PM2.5
Michigan,Allegan,26,5,6/29,161,Unhealthy,PM2.5
Michigan,Bay,26,17,6/29,169,Unhealthy,PM2.5
Michigan,Genesee,26,49,6/29,169,Unhealthy,PM2.5
Michigan,Ingham,26,65,6/29,183,Unhealthy,PM2.5
Michigan,Kalamazoo,26,77,6/29,179,Unhealthy,PM2.5
Michigan,Kent,26,81,6/29,167,Unhealthy,PM2.5
Michigan,Lenawee,26,91,6/29,194,Unhealthy,PM2.5
Michigan,Macomb,26,99,6/29,165,Unhealthy,PM2.5
Michigan,Missaukee,26,113,6/29,161,Unhealthy,PM2.5
Michigan,Oakland,26,125,6/29,164,Unhealthy,PM2.5
Michigan,Ottawa,26,139,6/29,167,Unhealthy,PM2.5
Michigan,Schoolcraft,26,153,6/29,153,Unhealthy,PM2.5
Michigan,St. Clair,26,147,6/29,158,Unhealthy,PM2.5
Michigan,Washtenaw,26,161,6/29,180,Unhealthy,PM2.5
Michigan,Wayne,26,163,6/29,178,Unhealthy,PM2.5
Minnesota,Becker,27,5,6/29,58,Moderate,PM2.5
Minnesota,Beltrami,27,7,6/29,61,Moderate,PM2.5
Minnesota,Carlton,27,17,6/29,56,Moderate,PM2.5
Minnesota,Cass,27,21,6/29,64,Moderate,PM2.5
Minnesota,Crow Wing,27,35,6/29,65,Moderate,PM2.5
Minnesota,Dakota,27,37,6/29,90,Moderate,PM2.5
Minnesota,Hennepin,27,53,6/29,88,Moderate,PM2.5
Minnesota,Lake,27,75,6/29,55,Moderate,PM2.5
Minnesota,Olmsted,27,109,6/29,91,Moderate,PM2.5
Minnesota,Ramsey,27,123,6/29,89,Moderate,PM2.5
Minnesota,Saint Louis,27,137,6/29,61,Moderate,PM2.5
Minnesota,Scott,27,139,6/29,87,Moderate,PM2.5
Minnesota,Stearns,27,145,6/29,82,Moderate,PM2.5
Minnesota,Wright,27,171,6/29,87,Moderate,PM2.5
Mississippi,DeSoto,28,33,6/29,57,Moderate,PM2.5
Mississippi,Forrest,28,35,6/29,64,Moderate,PM2.5
Mississippi,Hancock,28,45,6/29,52,Moderate,PM2.5
Mississippi,Harrison,28,47,6/29,62,Moderate,PM2.5
Mississippi,Hinds,28,49,6/29,57,Moderate,PM2.5
Mississippi,Jackson,28,59,6/29,61,Moderate,PM2.5
Missouri,Buchanan,29,21,6/29,52,Moderate,PM2.5
Missouri,Jackson,29,95,6/29,43,Good,PM2.5
Missouri,St. Louis City,29,510,6/29,77,Moderate,PM2.5
Montana,Beaverhead,30,1,6/29,14,Good,PM2.5
Montana,Cascade,30,13,6/29,44,Good,PM2.5
Montana,Gallatin,30,31,6/29,16,Good,PM2.5
Montana,Glacier,30,35,6/29,22,Good,PM2.5
Montana,Hill,30,41,6/29,35,Good,PM2.5
Montana,Lincoln,30,53,6/29,38,Good,PM2.5
Montana,Phillips,30,71,6/29,54,Moderate,PM2.5
Montana,Ravalli,30,81,6/29,16,Good,PM2.5
Montana,Richland,30,83,6/29,48,Good,PM2.5
Montana,Sanders,30,89,6/29,23,Good,PM2.5
Montana,Silver Bow,30,93,6/29,23,Good,PM2.5
Montana,Yellowstone,30,111,6/29,13,Good,PM2.5
Nebraska,Gage,31,67,6/29,7,Good,PM2.5
Nebraska,Hall,31,79,6/29,30,Good,PM2.5
Nebraska,Sarpy,31,153,6/29,58,Moderate,PM2.5
Nebraska,Scotts Bluff,31,157,6/29,9,Good,PM2.5
Nebraska,Washington,31,177,6/29,30,Good,PM2.5
Nevada,Douglas,32,5,6/29,15,Good,PM2.5
New Hampshire,Cheshire,33,5,6/29,46,Good,PM2.5
New Hampshire,Grafton,33,9,6/29,29,Good,PM2.5
