State,County,State Code,County Code,Date,AQI,Category,Parameter
Pennsylvania,Northampton,42,95,6/7,309,Hazardous,PM2.5
Pennsylvania,Lehigh,42,77,6/7,293,Very Unhealthy,PM2.5
Pennsylvania,Philadelphia,42,101,6/7,290,Very Unhealthy,PM2.5
Pennsylvania,Lancaster,42,71,6/7,285,Very Unhealthy,PM2.5
Pennsylvania,Lackawanna,42,69,6/7,268,Very Unhealthy,PM2.5
Pennsylvania,Berks,42,11,6/7,263,Very Unhealthy,PM2.5
Pennsylvania,Montgomery,42,91,6/7,260,Very Unhealthy,PM2.5
New York,Queens,36,81,6/7,254,Very Unhealthy,PM2.5
Pennsylvania,Delaware,42,45,6/7,246,Very Unhealthy,PM2.5
Pennsylvania,Lebanon,42,75,6/7,240,Very Unhealthy,PM2.5
New Jersey,Hunterdon,34,19,6/7,237,Very Unhealthy,PM2.5
New York,Onondaga,36,67,6/7,233,Very Unhealthy,PM2.5
New York,Steuben,36,101,6/7,231,Very Unhealthy,PM2.5
New York,Bronx,36,5,6/7,228,Very Unhealthy,PM2.5
New York,Kings,36,47,6/7,224,Very Unhealthy,PM2.5
New Jersey,Ocean,34,29,6/7,223,Very Unhealthy,PM2.5
Pennsylvania,Chester,42,29,6/7,223,Very Unhealthy,PM2.5
New Jersey,Middlesex,34,23,6/7,222,Very Unhealthy,PM2.5
New Jersey,Mercer,34,21,6/7,220,Very Unhealthy,PM2.5
Connecticut,Fairfield,9,1,6/7,217,Very Unhealthy,PM2.5
Pennsylvania,Dauphin,42,43,6/7,207,Very Unhealthy,PM2.5
New Jersey,Union,34,39,6/7,202,Very Unhealthy,PM2.5
New York,Richmond,36,85,6/7,202,Very Unhealthy,PM2.5
New Jersey,Camden,34,7,6/7,193,Unhealthy,PM2.5
Connecticut,New Haven,9,9,6/7,191,Unhealthy,PM2.5
New York,New York,36,61,6/7,191,Unhealthy,PM2.5
Pennsylvania,Cumberland,42,41,6/7,189,Unhealthy,PM2.5
New Jersey,Hudson,34,17,6/7,188,Unhealthy,PM2.5
New Jersey,Atlantic,34,1,6/7,187,Unhealthy,PM2.5
Pennsylvania,Centre,42,27,6/7,187,Unhealthy,PM2.5
New Jersey,Passaic,34,31,6/7,186,Unhealthy,PM2.5
Pennsylvania,York,42,133,6/7,186,Unhealthy,PM2.5
New Jersey,Bergen,34,3,6/7,185,Unhealthy,PM2.5
New Jersey,Warren,34,41,6/7,185,Unhealthy,PM2.5
New York,Nassau,36,59,6/7,185,Unhealthy,PM2.5
New York,Rockland,36,87,6/7,185,Unhealthy,PM2.5
New York,Westchester,36,119,6/7,185,Unhealthy,PM2.5
New York,Suffolk,36,103,6/7,184,Unhealthy,PM2.5
Maryland,Cecil,24,15,6/7,180,Unhealthy,PM2.5
New York,Oneida,36,65,6/7,180,Unhealthy,PM2.5
New Jersey,Cumberland,34,11,6/7,177,Unhealthy,PM2.5
New York,Albany,36,1,6/7,177,Unhealthy,PM2.5
New York,Orange,36,71,6/7,176,Unhealthy,PM2.5
Virginia,Fairfax,51,59,6/7,176,Unhealthy,PM2.5
Pennsylvania,Adams,42,1,6/7,175,Unhealthy,PM2.5
Connecticut,Litchfield,9,5,6/7,174,Unhealthy,PM2.5
Maryland,Dorchester,24,19,6/7,171,Unhealthy,PM2.5
New York,Erie,36,29,6/7,169,Unhealthy,PM2.5
Virginia,Hampton City,51,650,6/7,168,Unhealthy,PM2.5
New York,Monroe,36,55,6/7,167,Unhealthy,PM2.5
Maryland,Baltimore (City),24,510,6/7,165,Unhealthy,PM2.5
Massachusetts,Berkshire,25,3,6/7,165,Unhealthy,PM2.5
District Of Columbia,District of Columbia,11,1,6/7,164,Unhealthy,PM2.5
Virginia,Virginia Beach City,51,810,6/7,163,Unhealthy,PM2.5
Connecticut,Hartford,9,3,6/7,162,Unhealthy,PM2.5
Maryland,Kent,24,29,6/7,162,Unhealthy,PM2.5
Pennsylvania,Blair,42,13,6/7,161,Unhealthy,PM2.5
Maryland,Harford,24,25,6/7,160,Unhealthy,PM2.5
Connecticut,New London,9,11,6/7,158,Unhealthy,PM2.5
Maryland,Baltimore,24,5,6/7,157,Unhealthy,PM2.5
Maryland,Prince George's,24,33,6/7,157,Unhealthy,PM2.5
Michigan,Wayne,26,163,6/7,157,Unhealthy,PM2.5
Maryland,Howard,24,27,6/7,156,Unhealthy,PM2.5
Vermont,Bennington,50,3,6/7,156,Unhealthy,PM2.5
Michigan,St. Clair,26,147,6/7,155,Unhealthy,PM2.5
Michigan,Macomb,26,99,6/7,154,Unhealthy,PM2.5
Michigan,Lenawee,26,91,6/7,153,Unhealthy,PM2.5
Maryland,Montgomery,24,31,6/7,152,Unhealthy,PM2.5
Massachusetts,Hampden,25,13,6/7,152,Unhealthy,PM2.5
Michigan,Washtenaw,26,161,6/7,152,Unhealthy,PM2.5
Ohio,Butler,39,17,6/7,152,Unhealthy,PM2.5
Virginia,Richmond City,51,760,6/7,152,Unhealthy,PM2.5
Ohio,Cuyahoga,39,35,6/7,148,Unhealthy for Sensitive Groups,PM2.5
Ohio,Preble,39,135,6/7,148,Unhealthy for Sensitive Groups,PM2.5
Virginia,Henrico,51,87,6/7,143,Unhealthy for Sensitive Groups,PM2.5
Michigan,Ingham,26,65,6/7,142,Unhealthy for Sensitive Groups,PM2.5
Ohio,Franklin,39,49,6/7,140,Unhealthy for Sensitive Groups,PM2.5
Ohio,Hamilton,39,61,6/7,139,Unhealthy for Sensitive Groups,PM2.5
Ohio,Montgomery,39,113,6/7,135,Unhealthy for Sensitive Groups,PM2.5
Ohio,Medina,39,103,6/7,133,Unhealthy for Sensitive Groups,PM2.5
Indiana,Henry,18,65,6/7,128,Unhealthy for Sensitive Groups,PM2.5
Virginia,Frederick,51,69,6/7,128,Unhealthy for Sensitive Groups,PM2.5
Pennsylvania,Indiana,42,63,6/7,127,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Campbell,21,37,6/7,126,Unhealthy for Sensitive Groups,PM2.5
Indiana,Marion,18,97,6/7,125,Unhealthy for Sensitive Groups,PM2.5
Ohio,Stark,39,151,6/7,123,Unhealthy for Sensitive Groups,PM2.5
Indiana,Madison,18,95,6/7,122,Unhealthy for Sensitive Groups,PM2.5
Virginia,Charles,51,36,6/7,122,Unhealthy for Sensitive Groups,PM2.5
Ohio,Clark,39,23,6/7,120,Unhealthy for Sensitive Groups,PM2.5
Maryland,Washington,24,43,6/7,118,Unhealthy for Sensitive Groups,PM2.5
Massachusetts,Franklin,25,11,6/7,117,Unhealthy for Sensitive Groups,PM2.5
Michigan,Genesee,26,49,6/7,117,Unhealthy for Sensitive Groups,PM2.5
Ohio,Scioto,39,145,6/7,117,Unhealthy for Sensitive Groups,PM2.5
Massachusetts,Hampshire,25,15,6/7,116,Unhealthy for Sensitive Groups,PM2.5
Michigan,Kent,26,81,6/7,115,Unhealthy for Sensitive Groups,PM2.5
Ohio,Trumbull,39,155,6/7,115,Unhealthy for Sensitive Groups,PM2.5
Michigan,Bay,26,17,6/7,114,Unhealthy for Sensitive Groups,PM2.5
Ohio,Lawrence,39,87,6/7,112,Unhealthy for Sensitive Groups,PM2.5
Indiana,Whitley,18,183,6/7,109,Unhealthy for Sensitive Groups,PM2.5
Kentucky,Boyd,21,19,6/7,108,Unhealthy for Sensitive Groups,PM2.5
Ohio,Lucas,39,95,6/7,107,Unhealthy for Sensitive Groups,PM2.5
Ohio,Mahoning,39,99,6/7,107,Unhealthy for Sensitive Groups,PM2.5
Pennsylvania,Washington,42,125,6/7,105,Unhealthy for Sensitive Groups,PM2.5
Rhode Island,Washington,44,9,6/7,105,Unhealthy for Sensitive Groups,PM2.5
Ohio,Allen,39,3,6/7,104,Unhealthy for Sensitive Groups,PM2.5
Massachusetts,Bristol,25,5,6/7,103,Unhealthy for Sensitive Groups,PM2.5
Rhode Island,Kent,44,3,6/7,103,Unhealthy for Sensitive Groups,PM2.5
Pennsylvania,Beaver,42,7,6/7,102,Unhealthy for Sensitive Groups,PM2.5
Pennsylvania,Erie,42,49,6/7,100,Moderate,PM2.5
North Carolina,Montgomery,37,123,6/7,99,Moderate,PM2.5
Ohio,Warren,39,165,6/7,99,Moderate,PM2.5
Indiana,Monroe,18,105,6/7,96,Moderate,PM2.5
North Carolina,Johnston,37,101,6/7,95,Moderate,PM2.5
North Carolina,Wake,37,183,6/7,95,Moderate,PM2.5
Pennsylvania,Allegheny,42,3,6/7,95,Moderate,PM2.5
Tennessee,Davidson,47,37,6/7,95,Moderate,PM2.5
Tennessee,Knox,47,93,6/7,95,Moderate,PM2.5
West Virginia,Marshall,54,51,6/7,95,Moderate,PM2.5
Ohio,Clermont,39,25,6/7,94,Moderate,PM2.5
Pennsylvania,Cambria,42,21,6/7,94,Moderate,PM2.5
Indiana,Greene,18,55,6/7,93,Moderate,PM2.5
Missouri,St. Louis City,29,510,6/7,93,Moderate,PM2.5
Arkansas,Pulaski,5,119,6/7,92,Moderate,PM2.5
Indiana,Clark,18,19,6/7,92,Moderate,PM2.5
Indiana,Vanderburgh,18,163,6/7,92,Moderate,PM2.5
