CBSA,CBSA Code,Date,AQI,Category,Parameter
"Albany-Schenectady-Troy, NY",10580,6/30/2023,149,Unhealthy for Sensitive Groups,PM2.5
"Ann Arbor, MI",11460,6/30/2023,119,Unhealthy for Sensitive Groups,PM2.5
"Atlanta-Sandy Springs-Roswell, GA",12060,6/30/2023,105,Unhealthy for Sensitive Groups,PM2.5
"Atlantic City-Hammonton, NJ",12100,6/30/2023,107,Unhealthy for Sensitive Groups,PM2.5
"Baltimore-Columbia-Towson, MD",12580,6/30/2023,134,Unhealthy for Sensitive Groups,PM2.5
"Bay City, MI",13020,6/30/2023,138,Unhealthy for Sensitive Groups,PM2.5
"Bennington, VT",13540,6/30/2023,123,Unhealthy for Sensitive Groups,PM2.5
"Birmingham-Hoover, AL",13820,6/30/2023,105,Unhealthy for Sensitive Groups,PM2.5
"Cambridge, MD",15700,6/30/2023,117,Unhealthy for Sensitive Groups,PM2.5
"Durham-Chapel Hill, NC",20500,6/30/2023,104,Unhealthy for Sensitive Groups,PM2.5
"Greenfield Town, MA",24640,6/30/2023,117,Unhealthy for Sensitive Groups,PM2.5
"Hagerstown-Martinsburg, MD-WV",25180,6/30/2023,118,Unhealthy for Sensitive Groups,PM2.5
"Hartford-West Hartford-East Hartford, CT",25540,6/30/2023,129,Unhealthy for Sensitive Groups,PM2.5
"Holland, MI",26090,6/30/2023,103,Unhealthy for Sensitive Groups,PM2.5
"Lansing-East Lansing, MI",29620,6/30/2023,120,Unhealthy for Sensitive Groups,PM2.5
"Milwaukee-Waukesha-West Allis, WI",33340,6/30/2023,130,Unhealthy for Sensitive Groups,PM2.5
"Minot, ND",33500,6/30/2023,107,Unhealthy for Sensitive Groups,PM2.5
"New Haven-Milford, CT",35300,6/30/2023,148,Unhealthy for Sensitive Groups,PM2.5
"Norwich-New London, CT",35980,6/30/2023,109,Unhealthy for Sensitive Groups,PM2.5
"Pittsfield, MA",38340,6/30/2023,130,Unhealthy for Sensitive Groups,PM2.5
"Raleigh, NC",39580,6/30/2023,110,Unhealthy for Sensitive Groups,PM2.5
"Richmond, VA",40060,6/30/2023,113,Unhealthy for Sensitive Groups,PM2.5
"Roanoke, VA",40220,6/30/2023,124,Unhealthy for Sensitive Groups,PM2.5
"Utica-Rome, NY",46540,6/30/2023,137,Unhealthy for Sensitive Groups,PM2.5
"Vineland-Bridgeton, NJ",47220,6/30/2023,114,Unhealthy for Sensitive Groups,PM2.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,6/30/2023,125,Unhealthy for Sensitive Groups,PM2.5
"Winchester, VA-WV",49020,6/30/2023,135,Unhealthy for Sensitive Groups,PM2.5
"Winston-Salem, NC",49180,6/30/2023,112,Unhealthy for Sensitive Groups,PM2.5
"Youngstown-Warren-Boardman, OH-PA",49660,6/30/2023,144,Unhealthy for Sensitive Groups,PM2.5
"Allentown-Bethlehem-Easton, PA-NJ",10900,6/30/2023,162,Unhealthy,PM2.5
"Altoona, PA",11020,6/30/2023,159,Unhealthy,PM2.5
"Bridgeport-Stamford-Norwalk, CT",14860,6/30/2023,153,Unhealthy,PM2.5
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,6/30/2023,166,Unhealthy,PM2.5
"Charlottesville, VA",16820,6/30/2023,151,Unhealthy,PM2.5
"Corning, NY",18500,6/30/2023,158,Unhealthy,PM2.5
"Erie, PA",21500,6/30/2023,153,Unhealthy,PM2.5
"Gettysburg, PA",23900,6/30/2023,159,Unhealthy,PM2.5
"Harrisburg-Carlisle, PA",25420,6/30/2023,160,Unhealthy,PM2.5
"Indiana, PA",26860,6/30/2023,154,Unhealthy,PM2.5
"Johnstown, PA",27780,6/30/2023,153,Unhealthy,PM2.5
"Lancaster, PA",29540,6/30/2023,159,Unhealthy,PM2.5
"Lebanon, PA",30140,6/30/2023,159,Unhealthy,PM2.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,6/30/2023,156,Unhealthy,PM2.5
"Pittsburgh, PA",38300,6/30/2023,152,Unhealthy,PM2.5
"Reading, PA",39740,6/30/2023,160,Unhealthy,PM2.5
"Rochester, NY",40380,6/30/2023,170,Unhealthy,PM2.5
"Scranton--Wilkes-Barre--Hazleton, PA",42540,6/30/2023,170,Unhealthy,PM2.5
"State College, PA",44300,6/30/2023,158,Unhealthy,PM2.5
"Syracuse, NY",45060,6/30/2023,163,Unhealthy,PM2.5
"Torrington, CT",45860,6/30/2023,160,Unhealthy,PM2.5
"York-Hanover, PA",49620,6/30/2023,154,Unhealthy,PM2.5
"Akron, OH",10420,6/30/2023,83,Moderate,PM2.5
"Albany, GA",10500,6/30/2023,75,Moderate,PM2.5
"Appleton, WI",11540,6/30/2023,58,Moderate,PM2.5
"Asheville, NC",11700,6/30/2023,80,Moderate,PM2.5
"Athens, TN",11940,6/30/2023,67,Moderate,PM2.5
"Athens-Clarke County, GA",12020,6/30/2023,72,Moderate,PM2.5
"Augusta-Richmond County, GA-SC",12260,6/30/2023,83,Moderate,PM2.5
"Bakersfield, CA",12540,6/30/2023,60,Moderate,PM2.5
"Bemidji, MN",13420,6/30/2023,71,Moderate,PM2.5
