CBSA,CBSA Code,Date,AQI,Category,Defining Parameter
"Albany-Schenectady-Troy, NY",10580,2023-06-30,149,Unhealthy for Sensitive Groups,PM2.5
"Ann Arbor, MI",11460,2023-06-30,119,Unhealthy for Sensitive Groups,PM2.5
"Atlanta-Sandy Springs-Roswell, GA",12060,2023-06-30,105,Unhealthy for Sensitive Groups,PM2.5
"Atlantic City-Hammonton, NJ",12100,2023-06-30,107,Unhealthy for Sensitive Groups,PM2.5
"Baltimore-Columbia-Towson, MD",12580,2023-06-30,134,Unhealthy for Sensitive Groups,PM2.5
"Bay City, MI",13020,2023-06-30,138,Unhealthy for Sensitive Groups,PM2.5
"Bennington, VT",13540,2023-06-30,123,Unhealthy for Sensitive Groups,PM2.5
"Birmingham-Hoover, AL",13820,2023-06-30,105,Unhealthy for Sensitive Groups,PM2.5
"Cambridge, MD",15700,2023-06-30,117,Unhealthy for Sensitive Groups,PM2.5
"Durham-Chapel Hill, NC",20500,2023-06-30,104,Unhealthy for Sensitive Groups,PM2.5
"Greenfield Town, MA",24640,2023-06-30,117,Unhealthy for Sensitive Groups,PM2.5
"Hagerstown-Martinsburg, MD-WV",25180,2023-06-30,118,Unhealthy for Sensitive Groups,PM2.5
"Hartford-West Hartford-East Hartford, CT",25540,2023-06-30,129,Unhealthy for Sensitive Groups,PM2.5
"Holland, MI",26090,2023-06-30,103,Unhealthy for Sensitive Groups,PM2.5
"Lansing-East Lansing, MI",29620,2023-06-30,120,Unhealthy for Sensitive Groups,PM2.5
"Milwaukee-Waukesha-West Allis, WI",33340,2023-06-30,130,Unhealthy for Sensitive Groups,PM2.5
"Minot, ND",33500,2023-06-30,107,Unhealthy for Sensitive Groups,PM2.5
"New Haven-Milford, CT",35300,2023-06-30,148,Unhealthy for Sensitive Groups,PM2.5
"Norwich-New London, CT",35980,2023-06-30,109,Unhealthy for Sensitive Groups,PM2.5
"Pittsfield, MA",38340,2023-06-30,130,Unhealthy for Sensitive Groups,PM2.5
"Raleigh, NC",39580,2023-06-30,110,Unhealthy for Sensitive Groups,PM2.5
"Richmond, VA",40060,2023-06-30,113,Unhealthy for Sensitive Groups,PM2.5
"Roanoke, VA",40220,2023-06-30,124,Unhealthy for Sensitive Groups,PM2.5
"Utica-Rome, NY",46540,2023-06-30,137,Unhealthy for Sensitive Groups,PM2.5
"Vineland-Bridgeton, NJ",47220,2023-06-30,114,Unhealthy for Sensitive Groups,PM2.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2023-06-30,125,Unhealthy for Sensitive Groups,PM2.5
"Winchester, VA-WV",49020,2023-06-30,135,Unhealthy for Sensitive Groups,PM2.5
"Winston-Salem, NC",49180,2023-06-30,112,Unhealthy for Sensitive Groups,PM2.5
"Youngstown-Warren-Boardman, OH-PA",49660,2023-06-30,144,Unhealthy for Sensitive Groups,PM2.5
"Allentown-Bethlehem-Easton, PA-NJ",10900,2023-06-30,162,Unhealthy,PM2.5
"Altoona, PA",11020,2023-06-30,159,Unhealthy,PM2.5
"Bridgeport-Stamford-Norwalk, CT",14860,2023-06-30,153,Unhealthy,PM2.5
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2023-06-30,166,Unhealthy,PM2.5
"Charlottesville, VA",16820,2023-06-30,151,Unhealthy,PM2.5
"Corning, NY",18500,2023-06-30,158,Unhealthy,PM2.5
"Erie, PA",21500,2023-06-30,153,Unhealthy,PM2.5
"Gettysburg, PA",23900,2023-06-30,159,Unhealthy,PM2.5
"Harrisburg-Carlisle, PA",25420,2023-06-30,160,Unhealthy,PM2.5
"Indiana, PA",26860,2023-06-30,154,Unhealthy,PM2.5
"Johnstown, PA",27780,2023-06-30,153,Unhealthy,PM2.5
"Lancaster, PA",29540,2023-06-30,159,Unhealthy,PM2.5
"Lebanon, PA",30140,2023-06-30,159,Unhealthy,PM2.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2023-06-30,156,Unhealthy,PM2.5
"Pittsburgh, PA",38300,2023-06-30,152,Unhealthy,PM2.5
"Reading, PA",39740,2023-06-30,160,Unhealthy,PM2.5
"Rochester, NY",40380,2023-06-30,170,Unhealthy,PM2.5
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2023-06-30,170,Unhealthy,PM2.5
"State College, PA",44300,2023-06-30,158,Unhealthy,PM2.5
"Syracuse, NY",45060,2023-06-30,163,Unhealthy,PM2.5
"Torrington, CT",45860,2023-06-30,160,Unhealthy,PM2.5
"York-Hanover, PA",49620,2023-06-30,154,Unhealthy,PM2.5
